well_id,latitude,longitude,maaiveld_nap,filter_1_gemiddeld,filter_2_gemiddeld,filter_3_gemiddeld,filter_4_gemiddeld,filter_5_gemiddeld,filter_1_trend_15_jaar,filter_2_trend_15_jaar,filter_3_trend_15_jaar,filter_4_trend_15_jaar,filter_5_trend_15_jaar,filter_1_trend_25_jaar,filter_2_trend_25_jaar,filter_3_trend_25_jaar,filter_4_trend_25_jaar,filter_5_trend_25_jaar
B05F0073,53.287583395601,5.748008315365588,1.26,0.1501,-0.875,-1.167,-0.2583,-2.25,-2.012,,,,,,,,,
B05F0075,53.28890284414948,5.736323127749184,0.58,0.0396,,,-0.3053,,,,,,,,,,,
B05G0199,53.25567389676088,5.552026210695571,0.49,,,,,,,,,,,,,,,
B05G0218,53.241120647544136,5.606192753782013,-0.17,,,,,,,,,,,,,,,
B05G0249,53.19493306829321,5.607155772828007,0.25,,,,,,,,,,,,,,,
B05G0255,53.173896751846364,5.4748447524789015,-0.29,,,,,,,,,,,,,,,
B05G0264,53.179288706586505,5.557717831275077,0.56,,,,,,,,,,,,,,,
B05G0272,53.166266618080805,5.4636148637911734,-0.06,,,,,,,,,,,,,,,
B05G0281,53.16304012415179,5.546440195594698,0.32,,,,,,,,,,,,,,,
B05G0136,53.190461192020734,5.469357782557461,0.78,-0.7451,-1.385,-1.013,-0.7394,-1.25,-0.75,,,,,,,,,
B02C0214,53.45122848016157,5.80412699361731,3.32,2.2417,-0.333,-0.19,2.2231,-0.069,-0.231,,,,,,,,,
B02D0074,53.391392248946666,5.971608366874901,1.25,,,,,,,,,,,,,,,
B02G0005,53.48015960488092,6.16350681217513,4.31,,,,,,,,,,,,,,,
B01C0013,53.39491601266961,5.234182546436697,4.6,3.9236,-1.76,2.235,,,,,,,,,,,,
B01C0046,53.387182976437074,5.26000030576591,2.88,2.7426,0.556,0.708,2.7289,0.636,0.737,1.7825,3,2.091,,,,,,
B01C0050,53.39283018277035,5.255925182338519,4,3.3759,-1.312,-0.7,3.3508,-0.75,-0.588,,,,,,,,,
B01D0091,53.387684934135805,5.351137487423961,0.72,0.228,-0.125,-0.4,,,,,,,,,,,,
B01D0095,53.41076890576384,5.331569422002154,1.97,,,,,,,1.8021,,,,,,,,
B01D0100,53.409418926978745,5.32690967633029,2.01,,,,,,,1.8859,,,,,,,,
B01D0120,53.41500366159211,5.4020969056342105,3.61,2.6684,,,,,,,,,,,,,,
B01D0127,53.41302699556737,5.401945830079371,3.35,2.4799,,,,,,,,,,,,,,
B01D0134,53.409972207117775,5.4011929084974515,2.75,2.2109,,,,,,,,,,,,,,
B01D0136,53.409073342900435,5.4040496298538825,2.91,2.2629,,,,,,,,,,,,,,
B01D0141,53.423008497404034,5.407063507422894,0.17,-0.1689,,,-0.2424,,,,,,,,,,,
B06D0108,53.26118487200303,6.009107557390448,-0.1,-0.8538,0.25,0.5,-0.9107,,0.289,-0.9162,0.5,0.444,-0.9593,,0.279,,,
B06D0226,53.184901449220206,6.008010819370407,0.18,-0.6972,0,0.604,-0.9399,-1.231,2.29,-0.8826,-1.364,2.427,-0.9666,-1.364,2.293,,,
B06G0331,53.22850328149858,6.119134308735908,-0.29,-0.5112,0.667,,-0.5225,0.75,,,,,,,,,,
B06G0145,53.244731666814694,6.07034910711495,2.77,2.0784,2.167,0.75,0.9417,-2.962,-1.286,,,,,,,,,
B06H0141,53.24895638171804,6.304671760411074,-0.15,-0.8708,,,,,,,,,,,,,,
B06H0150,53.19697990287796,6.352905623415415,-1.7,-2.4853,,,,,,,,,,,,,,
B06H0128,53.19513293512538,6.292457066625643,-0.87,-1.4224,,,,,,,,,,,,,,
B06H0066,53.18368838132065,6.248012713048275,0.4,-0.6154,-0.75,-0.526,-0.3163,-1.333,-0.5,,,,,,,,,
B06H0075,53.22131351963478,6.309609775827632,-0.5,-0.8819,-1.667,0.167,-1.0651,-0.562,-0.375,-1.2175,-0.4,-0.643,,,,,,
B06H0176,53.17202903278714,6.3031754438641645,-0.48,-0.646,0,0.149,-0.6304,0.269,0.462,,,,,,,,,
B06H0182,53.20133548247512,6.339758312087612,-1.64,-2.0013,,,-1.9601,,,,,,,,,,,
B06H0194,53.223989069795365,6.268055956697533,-1.2,-1.2572,,,-1.2749,,,,,,,,,,,
B07A0121,53.37952367876656,6.456529327784527,0.58,,,,,,,,,,,,,,,
B07A0127,53.34749065934935,6.430806201094507,0.65,,,,,,,,,,,,,,,
B07A0134,53.323474543925734,6.483953986182378,1.1,,,,,,,,,,,,,,,
B07A0135,53.32275172602637,6.484385830162665,0.47,-0.0563,,,,,,,,,,,,,,
B07A0139,53.272531063912126,6.3906175720990115,1.89,,,,,,,,,,,,,,,
B07A0112,53.360525786099025,6.45371400944968,0.9,-0.4929,1.375,0.688,-0.5719,-0.312,-0.094,,,,,,,,,
